slice_type,slice_key,model,n,n_r5,pearson,spearman,q1_5d,q5_5d,q5_minus_q1,vs_b0_delta_pearson,vs_b0_delta_q5q1
sector,Metals,B5,43,37,0.0879,,,,0.6231,,
sector,Consumer Discretionary,B0,41,37,0.0354,,,,0.4034,,
sector,Consumer Discretionary,B1,41,37,0.1530,,,,0.1292,,
sector,Consumer Discretionary,B2,41,37,0.1234,,,,0.7000,,
sector,Consumer Discretionary,B3,41,37,0.1234,,,,0.7000,,
sector,Consumer Discretionary,B5,41,37,0.1075,,,,1.843,,
sector,Healthcare,B0,27,21,0.5291,,,,12.409,,
sector,Healthcare,B1,27,21,0.1178,,,,2.320,,
sector,Healthcare,B2,27,21,0.2142,,,,2.509,,
sector,Healthcare,B3,27,21,0.2142,,,,2.509,,
sector,Healthcare,B5,27,21,0.2142,,,,2.509,,
sector,Logistics,B0,26,22,0.0178,,,,0.5413,,
sector,Logistics,B1,26,22,-0.4104,,,,-6.893,,
sector,Logistics,B2,26,22,-0.4272,,,,-4.907,,
sector,Logistics,B3,26,22,-0.4272,,,,-4.907,,
sector,Logistics,B5,26,22,-0.4442,,,,-6.148,,
sector,Cement,B0,16,15,-0.1128,,,,-6.612,,
sector,Cement,B1,16,15,0.0435,,,,-0.9270,,
sector,Cement,B2,16,15,0.1142,,,,-1.308,,
sector,Cement,B3,16,15,0.1142,,,,-1.308,,
sector,Cement,B5,16,15,0.2013,,,,3.801,,
action,WATCHLIST,B0,161,,-0.0718,,,,-0.9746,,
action,WATCHLIST,B1,161,,-0.0592,,,,-1.069,,
action,WATCHLIST,B2,161,,-0.0296,,,,-0.0263,,
action,WATCHLIST,B3,161,,-0.0296,,,,-0.0263,,
action,WATCHLIST,B4,161,,-0.0203,,,,1.240,,
action,WATCHLIST,B5,161,,-0.0203,,,,1.240,,
action,WAIT,B0,194,,-0.0675,,,,-1.541,,
action,WAIT,B1,194,,0.2526,,,,4.375,,
action,WAIT,B2,194,,0.1531,,,,1.794,,
action,WAIT,B3,194,,0.1649,,,,2.009,,
action,WAIT,B4,194,,0.1588,,,,1.122,,
action,WAIT,B5,194,,0.1700,,,,1.465,,
action,AVOID,B0,484,,-0.2198,,,,-3.798,,
action,AVOID,B1,484,,-0.0768,,,,-0.6862,,
action,AVOID,B2,484,,-0.0635,,,,-1.034,,
action,AVOID,B3,484,,-0.0543,,,,-0.9102,,
action,AVOID,B4,484,,-0.0218,,,,-0.5830,,
action,AVOID,B5,484,,-0.0134,,,,-0.6284,,
