indexSymbol,strategyName,signalSource,setupKey,direction,optionType,strike,entryAt,exitAt,entrySpot,exitSpot,optionEntry,optionExit,lots,lotSize,qty,pnl,exitReason,confidence,tier,regime,modeled
SENSEX,,ENGINE,BASELINE,BULLISH,CALL,75100,2026-05-20T06:08:53.346Z,2026-05-20T10:01:10.020Z,,75307.17,373.61,,1,10,10,,EXPIRED_TRIGGERED,45,BASELINE,,false
BANKNIFTY,,ENGINE,VWAP_RECLAIM,BEARISH,PUT,53300,2026-05-20T06:33:53.749Z,2026-05-20T10:01:10.020Z,,53137.05,575.11,,1,30,30,,EXPIRED_TRIGGERED,76,HIGH_CONVICTION,,false
BANKNIFTY,,ENGINE,EMA_PULLBACK,BEARISH,PUT,53200,2026-05-20T07:38:40.047Z,2026-05-20T10:01:10.020Z,,53166.95,550.32,,1,30,30,,EXPIRED_TRIGGERED,72,HIGH_CONVICTION,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,24000,2026-05-26T07:48:36.587Z,2026-05-26T10:01:54.862Z,,23933.55,174.44,,1,75,75,,EXPIRED_TRIGGERED,45,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55100,2026-05-26T07:29:27.368Z,2026-05-26T10:01:54.862Z,,55130.6,94.81,,1,30,30,,EXPIRED_TRIGGERED,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,76300,2026-05-26T07:29:27.412Z,2026-05-26T10:01:54.862Z,,76009.7,321.1,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55200,2026-05-27T06:33:17.228Z,2026-05-27T10:02:29.316Z,,54871.95,1005.92,,1,30,30,,EXPIRED_TRIGGERED,45,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,23600,2026-05-31T10:11:39.686Z,2026-05-31T10:11:39.686Z,,23547.75,117.69,82.38,1,75,75,-2648.25,STOPPED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,54400,2026-05-31T10:11:39.751Z,2026-05-31T10:11:40.044Z,,54239.2,1036.14,,1,30,30,,EXPIRED_TRIGGERED,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,75000,2026-05-31T10:11:39.792Z,2026-05-31T10:11:40.044Z,,74775.74,502.17,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,23600,2026-06-01T04:02:08.056Z,2026-06-01T10:09:00.041Z,,23378.7,94.94,,1,75,75,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,54400,2026-06-01T04:18:24.534Z,2026-06-01T10:09:00.041Z,,53665.6,1029.91,1274.36,1,30,30,7333.5,TARGET1_HIT,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,75000,2026-06-01T04:18:24.589Z,2026-06-01T10:09:00.041Z,,74255.16,429.79,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
NIFTY,,ENGINE,VWAP_RECLAIM,BEARISH,PUT,23550,2026-06-01T06:27:16.379Z,2026-06-01T10:09:00.041Z,,23460.65,91.57,,1,75,75,,EXPIRED_TRIGGERED,76,HIGH_CONVICTION,,false
NIFTY,,ENGINE,EMA_PULLBACK,BEARISH,PUT,23350,2026-06-02T05:01:26.992Z,2026-06-02T10:00:30.032Z,,23332.8,163.52,,1,75,75,,EXPIRED_TRIGGERED,65,BASELINE,,false
SENSEX,,ENGINE,EMA_PULLBACK,BEARISH,PUT,74200,2026-06-02T05:15:24.197Z,2026-06-02T10:00:30.032Z,,74192.58,356.16,,1,10,10,,EXPIRED_TRIGGERED,65,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BULLISH,CALL,74200,2026-06-02T07:15:59.411Z,2026-06-02T10:00:30.032Z,,74714.31,436.58,,1,10,10,,EXPIRED_TRIGGERED,45,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BULLISH,CALL,23400,2026-06-02T07:15:59.281Z,2026-06-02T10:00:30.032Z,,23508.4,220.59,,1,75,75,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,53500,2026-06-02T07:15:59.346Z,2026-06-02T10:00:30.032Z,,53784.4,1313.31,,1,30,30,,EXPIRED_TRIGGERED,50,BASELINE,,false
SENSEX,,ENGINE,VWAP_RECLAIM,BULLISH,CALL,74700,2026-06-02T07:43:22.860Z,2026-06-02T10:00:30.032Z,,74566.75,472.83,,1,10,10,,EXPIRED_TRIGGERED,76,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,53500,2026-06-03T07:10:53.526Z,2026-06-03T07:10:53.526Z,,53617.7,1369.77,1238.93,1,30,30,-3925.2,STOPPED,50,BASELINE,,false
BANKNIFTY,,ENGINE,VWAP_RECLAIM,BULLISH,CALL,53700,2026-06-03T07:50:39.731Z,2026-06-03T10:01:37.639Z,,54067.75,1330.76,1517.08,1,30,30,5589.6,TARGET1_HIT,70,BASELINE,,false
NIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,23400,2026-06-03T08:20:31.555Z,2026-06-03T08:20:31.555Z,,23424.85,249.35,194.99,1,75,75,-4077,STOPPED,66,BASELINE,,false
SENSEX,,ENGINE,EMA_PULLBACK,BULLISH,CALL,74300,2026-06-03T08:20:31.655Z,2026-06-03T08:20:31.655Z,,74396.79,498.52,348.96,1,10,10,-1495.6,STOPPED,66,BASELINE,,false
BANKNIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,54200,2026-06-04T05:11:03.200Z,2026-06-04T10:00:39.277Z,,54270.5,1274.31,,1,30,30,,EXPIRED_TRIGGERED,68,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,54200,2026-06-04T05:25:40.434Z,2026-06-04T07:43:37.329Z,,54106.15,1204.92,1072.06,1,30,30,-3985.8,STOPPED,55,BASELINE,,false
SENSEX,,ENGINE,EMA_PULLBACK,BULLISH,CALL,74400,2026-06-04T05:16:01.420Z,2026-06-04T10:00:39.277Z,,74376.41,203.07,,1,10,10,,EXPIRED_TRIGGERED,68,BASELINE,,false
BANKNIFTY,,ENGINE,VWAP_RECLAIM,BULLISH,CALL,54400,2026-06-04T05:25:40.393Z,2026-06-04T10:00:39.277Z,,54326.4,1214.19,,1,30,30,,EXPIRED_TRIGGERED,78,BASELINE,,false
NIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,23400,2026-06-04T07:25:53.304Z,2026-06-04T10:00:39.277Z,,23417.1,184.51,,1,75,75,,EXPIRED_TRIGGERED,68,BASELINE,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,23400,2026-06-05T05:07:55.930Z,2026-06-05T10:02:04.621Z,,23370.5,121.1,187.98,1,75,75,5016,TARGET1_HIT,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BULLISH,CALL,54400,2026-06-05T05:52:05.593Z,2026-06-05T07:22:59.469Z,,54403.85,1246.13,1113.05,1,30,30,-3992.4,STOPPED,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,74300,2026-06-05T05:07:56.056Z,2026-06-05T10:02:04.621Z,,74285.6,478.81,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,54200,2026-06-05T05:13:54.839Z,2026-06-05T05:13:54.839Z,,54250.2,891.65,813.88,1,30,30,-2333.1,STOPPED,50,BASELINE,,false
BANKNIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,54500,2026-06-05T06:30:58.910Z,2026-06-05T08:01:10.075Z,,54242.05,1243.12,1129.14,1,30,30,-3419.4,STOPPED,68,BASELINE,,false
NIFTY,,ENGINE,VWAP_RECLAIM,BEARISH,PUT,23400,2026-06-05T07:14:19.510Z,2026-06-05T10:02:04.621Z,,23383.6,134.98,,1,75,75,,EXPIRED_TRIGGERED,67,BASELINE,,false
