date,open,high,low,close,volume
2024-07-01 09:15:00,79043.35,79142.55,78971.79,79126.03,0
2024-07-01 09:30:00,79126.43,79272.92,79083.07,79248.32,0
2024-07-01 09:45:00,79259.2,79275.18,79176.61,79244.32,0
2024-07-01 10:00:00,79245.08,79297,79137.08,79148.2,0
2024-07-01 10:15:00,79154.98,79242.64,79152.02,79212.5,0
2024-07-01 10:30:00,79213.87,79282.42,79193.22,79232.28,0
2024-07-01 10:45:00,79227.47,79270.83,79175.6,79217.04,0
2024-07-01 11:00:00,79217.32,79257.43,79180.95,79230.17,0
2024-07-01 11:15:00,79223.77,79355.82,79199.37,79351.15,0
2024-07-01 11:30:00,79355.38,79380.74,79297.03,79369.89,0
2024-07-01 11:45:00,79370.25,79387.22,79331.32,79340.32,0
2024-07-01 12:00:00,79340.25,79407.7,79340.25,79360.12,0
2024-07-01 12:15:00,79361.49,79437.2,79345.98,79408.05,0
2024-07-01 12:30:00,79408.64,79424.52,79333.35,79391.77,0
2024-07-01 12:45:00,79393.44,79427.87,79385.25,79405.94,0
2024-07-01 13:00:00,79402.96,79416.93,79362.97,79400.05,0
2024-07-01 13:15:00,79400.03,79435.4,79369.74,79403.22,0
2024-07-01 13:30:00,79410.5,79486.21,79398.13,79461.75,0
2024-07-01 13:45:00,79461.3,79502.61,79438.38,79474.8,0
2024-07-01 14:00:00,79477.96,79517.06,79425.62,79474.96,0
2024-07-01 14:15:00,79474.75,79521.67,79403.91,79457.93,0
2024-07-01 14:30:00,79455.89,79499.88,79434.46,79494.95,0
2024-07-01 14:45:00,79497.61,79508.19,79446.39,79467.59,0
2024-07-01 15:00:00,79471.83,79561,79426.42,79506.55,0
2024-07-01 15:15:00,79514.68,79537.03,79386.74,79420.35,0
2024-07-02 09:15:00,79840.37,79855.87,79489.03,79508.95,0
2024-07-02 09:30:00,79503.66,79562.99,79316.26,79316.26,0
2024-07-02 09:45:00,79302.11,79422.3,79236.74,79422.3,0
2024-07-02 10:00:00,79422.35,79511.38,79413.86,79438.71,0
2024-07-02 10:15:00,79439.27,79534.79,79408.12,79453.6,0
