date,open,high,low,close,volume
2024-07-18 09:15:00,52215.05,52384.45,52168.65,52275.7,0
2024-07-18 09:30:00,52274.85,52426.4,52258,52402.7,0
2024-07-18 09:45:00,52408.7,52609.3,52403.95,52530.7,0
2024-07-18 10:00:00,52529.15,52668.8,52528.75,52608,0
2024-07-18 10:15:00,52602.4,52631.05,52543.45,52560.15,0
2024-07-18 10:30:00,52557,52580.8,52467,52513.85,0
2024-07-18 10:45:00,52519.6,52539.6,52361.3,52361.3,0
2024-07-18 11:00:00,52359.8,52437.15,52267.65,52272.95,0
2024-07-18 11:15:00,52273.6,52316.05,52226.6,52291.7,0
2024-07-18 11:30:00,52289.3,52314.8,52185.7,52239.75,0
2024-07-18 11:45:00,52238.05,52281.35,52204.35,52281.35,0
2024-07-18 12:00:00,52279.9,52436.35,52263.3,52427.85,0
2024-07-18 12:15:00,52424.05,52489.15,52362.15,52362.25,0
2024-07-18 12:30:00,52364.3,52442.5,52359.9,52433.1,0
2024-07-18 12:45:00,52436.05,52440.45,52381.7,52387.1,0
2024-07-18 13:00:00,52386.25,52583.4,52352.7,52557.8,0
2024-07-18 13:15:00,52562.25,52599.1,52505.95,52590.9,0
2024-07-18 13:30:00,52591.25,52623.3,52525.8,52546.85,0
2024-07-18 13:45:00,52548.6,52637.35,52534.55,52602.55,0
2024-07-18 14:00:00,52598.55,52754.05,52598.55,52734.6,0
2024-07-18 14:15:00,52730.95,52782.75,52687.5,52731.6,0
2024-07-18 14:30:00,52731.9,52755.6,52650.2,52738.8,0
2024-07-18 14:45:00,52736.75,52766.15,52635.8,52659.95,0
2024-07-18 15:00:00,52661.9,52691.65,52607.05,52630.1,0
2024-07-18 15:15:00,52631.1,52653.05,52558.25,52559.25,0
2024-07-19 09:15:00,52531.55,52586.75,52339.95,52523.8,0
2024-07-19 09:30:00,52525.55,52562.9,52482.2,52551.85,0
2024-07-19 09:45:00,52551.85,52554,52382.85,52389.8,0
2024-07-19 10:00:00,52390.1,52426.35,52317.5,52362.4,0
2024-07-19 10:15:00,52360.65,52475.45,52344.4,52425.55,0
2024-07-19 10:30:00,52423.75,52440.6,52354.25,52385.6,0
2024-07-19 10:45:00,52384.35,52399.25,52210.3,52229.8,0
2024-07-19 11:00:00,52229.4,52316.8,52146.3,52298.1,0
2024-07-19 11:15:00,52297.2,52356.85,52257.95,52330.7,0
2024-07-19 11:30:00,52330.6,52397.75,52282.1,52306.75,0
2024-07-19 11:45:00,52307.65,52352.8,52277.7,52325.1,0
2024-07-19 12:00:00,52325.3,52381,52312.3,52344.1,0
2024-07-19 12:15:00,52342.9,52376.1,52265.9,52309,0
2024-07-19 12:30:00,52311.4,52318.8,52200.2,52261.7,0
2024-07-19 12:45:00,52261.5,52278.15,52206.05,52211.95,0
2024-07-19 13:00:00,52213.55,52271.4,52182.3,52255.4,0
