scan_date,symbol,sector,action,action_class,leader_class,score,fundamental_score,risk_score,rsi14,pct_from_52w_high,warn_extended,warn_rsi_overext,warn_rs_weak,warn_bearish,warn_inside_supply,return_1d,return_3d,return_5d,return_10d,mfe,mae,outcome_label,m0_shadow,m0_q,m1_shadow,m1_q,m2_shadow,m2_q,m3_shadow,m3_q,m4_shadow,m4_q,m5_shadow,m5_q,m6_shadow,m6_q
2026-05-11,ATGL,,AVOID / NO TRADE,AVOID,,65.700,16,10,54.300,-22.160,false,false,false,false,true,-4.813,-1.384,-1.787,6.109,33.612,-5.328,stop_hit_daily_approx,65.700,Q5,49.700,Q3,65.700,Q5,65.700,Q4,55.700,Q4,65.700,Q5,49.700,Q3
2026-05-11,ATUL,,AVOID / NO TRADE,AVOID,,65,21,10,56.800,-11.790,false,false,false,false,true,-0.269,1.456,0.182,2.467,4.367,-1.339,stop_hit_daily_approx,65,Q4,44,Q2,65,Q5,65,Q4,55,Q4,65,Q4,44,Q2
2026-05-11,AUROPHARMA,,WATCHLIST,WATCHLIST,,60.700,15,10,68.400,-2.270,false,false,false,false,false,0.622,2.157,1.454,-1.650,4.801,-3.448,stop_hit_daily_approx,60.700,Q4,45.700,Q2,57.700,Q4,60.700,Q3,50.700,Q4,60.700,Q4,42.700,Q2
2026-05-11,BAJAJ-AUTO,,WATCHLIST,WATCHLIST,,67.100,24,10,69.300,-1.750,false,false,false,false,false,-1.878,-1.368,-3.751,-0.991,2.246,-4.884,entry_reached_no_resolution,67.100,Q5,43.100,Q2,64.100,Q5,67.100,Q5,57.100,Q5,67.100,Q5,40.100,Q2
2026-05-11,BAJAJCON,,AVOID / NO TRADE,AVOID,,47.100,0,10,74.500,-3.440,true,false,false,false,false,1.285,-4.168,-3.641,3.845,7.394,-7.329,stop_hit_daily_approx,47.100,Q1,47.100,Q2,33.100,Q1,47.100,Q1,37.100,Q1,47.100,Q1,33.100,Q1
2026-05-11,BANDHANBNK,,WATCHLIST,WATCHLIST,,63.600,16,10,67.400,-5.010,false,false,false,false,false,-2.936,-1.465,-5.772,-2.490,3.099,-7.649,entry_reached_no_resolution,63.600,Q4,47.600,Q2,63.600,Q5,63.600,Q4,53.600,Q4,63.600,Q4,47.600,Q3
2026-05-11,BEML,,AVOID / NO TRADE,AVOID,,53.600,8,10,64,-21.390,false,false,false,false,true,-6.425,-4.311,-7.756,-4.812,-0.318,-11.060,not_triggered,53.600,Q2,45.600,Q2,53.600,Q3,53.600,Q2,43.600,Q2,53.600,Q2,45.600,Q3
2026-05-11,BHARATFORG,,WATCHLIST,WATCHLIST,,60.700,9,10,66.100,-3.060,false,false,false,false,false,-3.457,-1.645,-4.567,-3.190,0.883,-7.767,not_triggered,60.700,Q4,51.700,Q4,60.700,Q4,60.700,Q3,50.700,Q4,60.700,Q4,51.700,Q4
2026-05-11,BHEL,,WATCHLIST,WATCHLIST,,60,14,10,80.300,-2.150,true,true,false,false,false,-2.087,3.262,-1.212,4.824,6.148,-3.499,stop_hit_daily_approx,60,Q4,46,Q2,38,Q1,60,Q3,50,Q3,60,Q4,24,Q1
2026-05-11,BIRLACORPN,,WATCHLIST,WATCHLIST,,68.200,10,10,71,-30.270,true,false,false,false,false,-1.583,-4.708,-5.521,-5.927,0.645,-9.150,stop_hit_daily_approx,68.200,Q5,58.200,Q5,54.200,Q3,68.200,Q5,58.200,Q5,68.200,Q5,44.200,Q2
2026-05-11,BLISSGVS,,AVOID / NO TRADE,AVOID,,63.600,13,10,61.900,-2.760,false,false,false,false,true,0.201,5.910,5.178,16.212,46.240,-1.720,target1_hit_daily_approx,63.600,Q4,50.600,Q3,60.600,Q4,63.600,Q4,53.600,Q4,63.600,Q4,47.600,Q3
2026-05-11,BOSCHLTD,,AVOID / NO TRADE,AVOID,,68.600,15,6,57.700,-11.150,false,false,false,false,true,-2.039,-0.872,-0.309,-2.576,1.905,-6.560,not_triggered,68.600,Q5,53.600,Q4,68.600,Q5,68.600,Q5,62.600,Q5,68.600,Q5,53.600,Q4
2026-05-11,BSE,,WATCHLIST,WATCHLIST,,62.100,16,10,76.900,-1.850,true,true,false,false,false,-1.737,3,5.120,9.469,13.439,-2.033,target1_hit_daily_approx,62.100,Q4,46.100,Q2,40.100,Q1,62.100,Q4,52.100,Q4,62.100,Q4,24.100,Q1
2026-05-11,CAMS,,AVOID / NO TRADE,AVOID,,66.400,21,10,67.800,-6.630,false,false,false,false,true,-3.960,-3.813,-5.416,-5.796,0.177,-7.577,not_triggered,66.400,Q5,45.400,Q2,66.400,Q5,66.400,Q4,56.400,Q5,66.400,Q5,45.400,Q3
2026-05-11,CARBORUNIV,,WATCHLIST,WATCHLIST,,59.300,10,10,75.400,-0.430,true,true,false,false,false,-3.014,-0.255,5.601,1.673,12.154,-4.798,stop_hit_daily_approx,59.300,Q3,49.300,Q3,37.300,Q1,59.300,Q3,49.300,Q3,59.300,Q3,27.300,Q1
2026-05-11,CCL,,AVOID / NO TRADE,AVOID,,50,16,10,47.300,-9.830,false,false,false,false,true,-0.291,1.275,-0.674,-3.534,4.208,-4.801,not_triggered,50,Q1,34,Q1,50,Q2,50,Q1,40,Q1,50,Q1,34,Q1
2026-05-11,CESC,,AVOID / NO TRADE,AVOID,,55.700,12,10,57,-10.810,false,false,false,false,true,-1.042,1.129,-3.289,1.749,3.454,-4.052,not_triggered,55.700,Q3,43.700,Q2,55.700,Q3,55.700,Q2,45.700,Q3,55.700,Q3,43.700,Q2
2026-05-11,CGCL,,AVOID / NO TRADE,AVOID,,74.300,21,10,56.600,-10.750,false,false,false,false,true,-2.225,-2.440,-2.461,-0.890,1.832,-5.377,not_triggered,74.300,Q5,53.300,Q4,74.300,Q5,74.300,Q5,64.300,Q5,74.300,Q5,53.300,Q4
2026-05-11,CGPOWER,,WATCHLIST,WATCHLIST,,67.100,18,10,67.700,-3.230,false,false,false,false,false,-2.855,-1.159,-5.762,1.130,9.299,-6.246,entry_reached_no_resolution,67.100,Q5,49.100,Q3,67.100,Q5,67.100,Q5,57.100,Q5,67.100,Q5,49.100,Q3
2026-05-11,CHENNPETRO,,AVOID / NO TRADE,AVOID,,55,15,10,52.100,-9.030,false,false,true,false,true,-4.294,-2.417,-6.360,-2.313,0.929,-7.763,not_triggered,55,Q2,40,Q1,55,Q3,55,Q2,45,Q2,40,Q1,25,Q1
2026-05-11,CHOLAFIN,,AVOID / NO TRADE,AVOID,,50,0,6,54.300,-11.450,false,false,false,false,true,-3.749,-3.373,-5.790,-1.899,0.432,-8.065,not_triggered,50,Q1,50,Q3,50,Q2,50,Q1,44,Q2,50,Q1,50,Q3
2026-05-11,CHOLAHLDNG,,AVOID / NO TRADE,AVOID,,62.900,18,10,69,-20.600,false,false,false,false,true,-3.183,-4.870,-7.156,-8.313,0.395,-10.553,not_triggered,62.900,Q4,44.900,Q2,62.900,Q4,62.900,Q4,52.900,Q4,62.900,Q4,44.900,Q2
2026-05-11,COALINDIA,,AVOID / NO TRADE,AVOID,,70.700,24,10,54,-5.620,false,false,true,false,true,-0.129,-2.071,-0.334,-1.219,2.588,-7.603,stop_hit_daily_approx,70.700,Q5,46.700,Q2,70.700,Q5,70.700,Q5,60.700,Q5,55.700,Q3,31.700,Q1
2026-05-11,COFORGE,,WATCHLIST,WATCHLIST,,63.600,21,10,65.700,-31.140,false,false,false,false,false,-3.831,-7.167,-1.814,1.821,5.390,-8.973,entry_reached_no_resolution,63.600,Q4,42.600,Q1,63.600,Q5,63.600,Q4,53.600,Q4,63.600,Q4,42.600,Q2
2026-05-11,COLPAL,,WATCHLIST,WATCHLIST,,62.900,14,10,56.200,-22.110,false,false,false,false,false,-0.692,0.308,0.523,-2.009,3.911,-4.150,stop_hit_daily_approx,62.900,Q4,48.900,Q3,62.900,Q4,62.900,Q4,52.900,Q4,62.900,Q4,48.900,Q3
2026-05-11,CONCOR,,AVOID / NO TRADE,AVOID,,68.600,13,10,68,-18.420,false,false,false,false,true,-2.998,-1.692,-5.640,-3.741,-0.432,-11.589,not_triggered,68.600,Q5,55.600,Q5,68.600,Q5,68.600,Q5,58.600,Q5,68.600,Q5,55.600,Q5
2026-05-11,CRAFTSMAN,,WATCHLIST,WATCHLIST,,59.300,10,10,75.800,-9.110,true,true,false,false,false,-1.842,-3.209,-4.773,-1.791,2.294,-6.875,not_triggered,59.300,Q3,49.300,Q3,40.300,Q1,59.300,Q3,49.300,Q3,59.300,Q3,30.300,Q1
2026-05-11,CREDITACC,,AVOID / NO TRADE,AVOID,,62.900,16,10,72.700,-5.550,false,false,false,false,true,-6.084,-10.413,-12.297,-11.959,1.067,-14.241,not_triggered,62.900,Q4,46.900,Q2,54.900,Q3,62.900,Q4,52.900,Q4,62.900,Q4,38.900,Q2
2026-05-11,CUMMINSIND,,AVOID / NO TRADE,AVOID,,57.900,8,10,56.300,-4.470,false,false,false,false,true,-1.263,2.698,1.387,2.985,16.705,-1.502,target1_hit_daily_approx,57.900,Q3,49.900,Q3,57.900,Q4,57.900,Q3,47.900,Q3,57.900,Q3,49.900,Q3
2026-05-11,DATAPATTNS,,AVOID / NO TRADE,AVOID,,66.400,16,10,65.100,-3.990,false,false,false,false,true,-1.670,-2.929,-9.181,-0.859,2.868,-13.697,not_triggered,66.400,Q5,50.400,Q3,66.400,Q5,66.400,Q4,56.400,Q5,66.400,Q5,50.400,Q3
2026-05-11,DCMSHRIRAM,,AVOID / NO TRADE,AVOID,,67.100,10,10,56.400,-18.330,false,false,false,false,true,-2.738,-8.101,-10.391,-11.141,0.399,-12.551,not_triggered,67.100,Q5,57.100,Q5,67.100,Q5,67.100,Q5,57.100,Q5,67.100,Q5,57.100,Q5
2026-05-11,DEEPAKNTR,,WAIT FOR CONFIRMATION,WAIT,,54.300,8,10,77.600,-14.360,true,true,false,false,false,-0.730,-1.165,-6.091,-6.230,1.934,-8.910,stop_hit_daily_approx,54.300,Q2,46.300,Q2,35.300,Q1,54.300,Q2,44.300,Q2,54.300,Q2,27.300,Q1
2026-05-11,DELHIVERY,,AVOID / NO TRADE,AVOID,,65.700,14,10,62,-2.550,false,false,false,false,true,-2.681,-1.508,-4.555,-4.618,1.257,-6.628,not_triggered,65.700,Q5,51.700,Q4,62.700,Q4,65.700,Q4,55.700,Q4,65.700,Q5,48.700,Q3
2026-05-11,DHANBANK,,WATCHLIST,WATCHLIST,,63.600,16,10,66.700,-6.210,false,false,false,false,false,-2.008,0.596,3.984,5.082,9.755,-7.120,stop_hit_daily_approx,63.600,Q4,47.600,Q2,63.600,Q5,63.600,Q4,53.600,Q4,63.600,Q4,47.600,Q3
2026-05-11,DIVISLAB,,AVOID / NO TRADE,AVOID,,58.600,12,10,73.500,-5.110,false,false,false,false,true,-0.984,3.152,1.863,0.693,3.845,-1.103,entry_reached_no_resolution,58.600,Q3,46.600,Q2,50.600,Q2,58.600,Q3,48.600,Q3,58.600,Q3,38.600,Q2
2026-05-11,EASEMYTRIP,,AVOID / NO TRADE,AVOID,,36.400,0,10,50.800,-39.290,false,false,false,false,true,-4.669,7.263,6.744,3.761,9.598,-6.355,stop_hit_daily_approx,36.400,Q1,36.400,Q1,36.400,Q1,36.400,Q1,26.400,Q1,36.400,Q1,36.400,Q2
2026-05-11,ECLERX,,WAIT FOR CONFIRMATION,WAIT,,52.900,19,6,64.800,-32.160,false,false,false,false,false,-3.305,-10.381,-12.984,-6.274,0.035,-15.221,stop_hit_daily_approx,52.900,Q2,33.900,Q1,52.900,Q3,52.900,Q2,46.900,Q3,52.900,Q2,33.900,Q1
2026-05-11,EDELWEISS,,AVOID / NO TRADE,AVOID,,68.600,13,10,60.200,-4.900,false,false,false,false,true,-4.425,-6.806,-11.183,-9.928,-0.185,-13.701,not_triggered,68.600,Q5,55.600,Q5,68.600,Q5,68.600,Q5,58.600,Q5,68.600,Q5,55.600,Q5
2026-05-11,ELECON,,AVOID / NO TRADE,AVOID,,62.100,16,10,64.700,-25.650,false,false,false,false,true,-5.728,-6.291,-9.052,2.798,3.286,-11.803,not_triggered,62.100,Q4,46.100,Q2,62.100,Q4,62.100,Q4,52.100,Q4,62.100,Q4,46.100,Q3
2026-05-11,ELECTCAST,,AVOID / NO TRADE,AVOID,,49.300,6,10,58.900,-35.560,false,false,false,false,false,-4.921,-6.252,-12.806,-7.874,0.526,-17.783,not_triggered,49.300,Q1,43.300,Q2,49.300,Q2,49.300,Q1,39.300,Q1,49.300,Q1,43.300,Q2
2026-05-11,ELGIEQUIP,,WAIT FOR CONFIRMATION,WAIT,,53.600,16,10,52.600,-10.970,false,false,false,false,false,-3.452,-3.185,-1.514,4.846,8.742,-6.212,entry_reached_no_resolution,53.600,Q2,37.600,Q1,53.600,Q3,53.600,Q2,43.600,Q2,53.600,Q2,37.600,Q2
2026-05-11,ENGINERSIN,,WATCHLIST,WATCHLIST,,66.400,19,10,58.800,-6.820,false,false,false,false,false,-4.763,2.110,-4.522,-8.119,3.416,-14.389,not_triggered,66.400,Q5,47.400,Q2,66.400,Q5,66.400,Q4,56.400,Q5,66.400,Q5,47.400,Q3
2026-05-11,ESABINDIA,,WATCHLIST,WATCHLIST,,58.600,14,10,69.900,-6.350,false,false,false,false,false,-1.955,-2.837,-4.697,1.962,4.588,-6.484,not_triggered,58.600,Q3,44.600,Q2,58.600,Q4,58.600,Q3,48.600,Q3,58.600,Q3,44.600,Q2
2026-05-11,FINCABLES,,WATCHLIST,WATCHLIST,,65,17,10,78.400,-3.630,true,true,false,false,false,-5.021,-4.950,-9.493,-5.428,4.826,-11.484,stop_hit_daily_approx,65,Q4,48,Q3,46,Q2,65,Q4,55,Q4,65,Q4,29,Q1
2026-05-11,FIVESTAR,,WAIT FOR CONFIRMATION,WAIT,,52.500,16,10,54.200,-43.300,false,false,false,false,false,-0.011,-0.841,-3.845,-2.854,0.777,-6.198,not_triggered,52.500,Q2,36.500,Q1,52.500,Q3,52.500,Q2,42.500,Q2,52.500,Q2,36.500,Q2
2026-05-11,GESHIP,,AVOID / NO TRADE,AVOID,,68.200,19,10,65.500,-1.450,false,false,false,false,true,-5.327,-6.932,6.330,3.328,12.692,-8.361,stop_hit_daily_approx,68.200,Q5,49.200,Q3,65.200,Q5,68.200,Q5,58.200,Q5,68.200,Q5,46.200,Q3
2026-05-11,GLAND,,AVOID / NO TRADE,AVOID,,75,19,10,66.200,-10.320,false,false,false,false,true,-2.036,-0.670,12.852,22.125,25.379,-5.128,stop_hit_daily_approx,75,Q5,56,Q5,75,Q5,75,Q5,65,Q5,75,Q5,56,Q5
2026-05-11,GLENMARK,,WATCHLIST,WATCHLIST,,59.300,14,10,57.600,-5.340,false,false,false,false,false,-3.625,-0.060,-0.090,-0.213,3.629,-4.940,stop_hit_daily_approx,59.300,Q3,45.300,Q2,59.300,Q4,59.300,Q3,49.300,Q3,59.300,Q3,45.300,Q3
2026-05-11,GODFRYPHLP,,WAIT FOR CONFIRMATION,WAIT,,56.400,17,10,66.300,-39.400,false,false,false,false,false,-2.115,2.789,-3.219,-2.981,4.172,-6.681,stop_hit_daily_approx,56.400,Q3,39.400,Q1,56.400,Q3,56.400,Q3,46.400,Q3,56.400,Q3,39.400,Q2
2026-05-11,GODREJPROP,,WAIT FOR CONFIRMATION,WAIT,,57.900,21,10,51.400,-28.580,false,false,false,false,false,-4.341,-3.162,-5.799,-1.274,1.240,-8.145,not_triggered,57.900,Q3,36.900,Q1,57.900,Q4,57.900,Q3,47.900,Q3,57.900,Q3,36.900,Q2
2026-05-11,GRANULES,,WATCHLIST,WATCHLIST,,62.100,21,10,83.700,-0.830,false,true,false,false,false,-3.443,-2.616,-3.126,0.444,5.953,-4.490,entry_reached_no_resolution,62.100,Q4,41.100,Q1,46.100,Q2,62.100,Q4,52.100,Q4,62.100,Q4,25.100,Q1
2026-05-11,GRINDWELL,,WATCHLIST,WATCHLIST,,65,12,10,74.700,-4.140,true,false,false,false,false,-1.069,-0.676,2.791,7.198,10.891,-3.422,target1_hit_daily_approx,65,Q4,53,Q4,51,Q2,65,Q4,55,Q4,65,Q4,39,Q2
2026-05-11,HAL,,WATCHLIST,WATCHLIST,,63.600,18,6,74.600,-8.030,true,false,false,false,false,-3.737,-2.989,-8.916,-6.823,1.234,-12.105,not_triggered,63.600,Q4,45.600,Q2,49.600,Q2,63.600,Q4,57.600,Q5,63.600,Q4,31.600,Q1
2026-05-11,HAPPYFORGE,,WATCHLIST,WATCHLIST,,65,17,10,70.300,-1.200,false,false,false,false,false,-1.897,-4.202,-4.929,-4.721,3.150,-8.294,stop_hit_daily_approx,65,Q4,48,Q3,54,Q3,65,Q4,55,Q4,65,Q4,37,Q2
2026-05-11,HERITGFOOD,,WAIT FOR CONFIRMATION,WAIT,,57.900,8,10,66.400,-30,false,false,false,false,false,-7.196,-11.283,-14.021,-12.143,-5.331,-15.331,not_triggered,57.900,Q3,49.900,Q3,57.900,Q4,57.900,Q3,47.900,Q3,57.900,Q3,49.900,Q3
2026-05-11,HEROMOTOCO,,WAIT FOR CONFIRMATION,WAIT,,55.700,24,10,51.100,-18.130,false,false,true,false,false,-2.820,-2.925,-5.220,-4.799,0.765,-6.692,not_triggered,55.700,Q3,31.700,Q1,55.700,Q3,55.700,Q2,45.700,Q3,40.700,Q1,16.700,Q1
2026-05-11,HFCL,,WATCHLIST,WATCHLIST,,62.100,10,10,85.800,-1.700,true,true,false,false,false,-0.965,1.588,-6.387,9.127,18.242,-9.576,stop_hit_daily_approx,62.100,Q4,52.100,Q4,40.100,Q1,62.100,Q4,52.100,Q4,62.100,Q4,30.100,Q1
2026-05-11,HIKAL,,WAIT FOR CONFIRMATION,WAIT,,55,11,10,67.700,-53.520,false,false,false,false,false,-4.847,-0.019,-5.920,2.519,9.195,-7.083,entry_reached_no_resolution,55,Q2,44,Q2,55,Q3,55,Q2,45,Q2,55,Q3,44,Q2
2026-05-11,HINDUNILVR,,AVOID / NO TRADE,AVOID,,67.100,19,10,56.100,-16.160,false,false,false,false,true,-1.891,-2.468,-2.229,-4.732,0.061,-5.647,stop_hit_daily_approx,67.100,Q5,48.100,Q3,67.100,Q5,67.100,Q5,57.100,Q5,67.100,Q5,48.100,Q3
2026-05-11,HOMEFIRST,,AVOID / NO TRADE,AVOID,,71.400,21,10,58.300,-22.650,false,false,false,false,true,-5.685,-7.387,-9.277,-8.077,0.247,-10.970,not_triggered,71.400,Q5,50.400,Q3,71.400,Q5,71.400,Q5,61.400,Q5,71.400,Q5,50.400,Q3
2026-05-11,HONASA,,AVOID / NO TRADE,AVOID,,66.400,11,10,66.200,-2.430,false,false,false,false,true,-1.653,-0.311,-1.624,10.523,19.421,-3.799,stop_hit_daily_approx,66.400,Q5,55.400,Q5,63.400,Q5,66.400,Q4,56.400,Q5,66.400,Q5,52.400,Q4
2026-05-11,HSCL,,WATCHLIST,WATCHLIST,,60.700,22,10,70,-6.030,false,false,false,false,false,-1.187,0.333,-10.325,-3.537,2.846,-12.260,not_triggered,60.700,Q4,38.700,Q1,60.700,Q4,60.700,Q3,50.700,Q4,60.700,Q4,38.700,Q2
2026-05-11,INOXGREEN,,AVOID / NO TRADE,AVOID,,66.400,17,10,65.300,-32.200,false,false,false,false,true,-5.540,-4.980,-4.884,-6.005,-0.206,-10.081,not_triggered,66.400,Q5,49.400,Q3,66.400,Q5,66.400,Q4,56.400,Q5,66.400,Q5,49.400,Q3
2026-05-11,INOXWIND,,WATCHLIST,WATCHLIST,,61.400,15,10,53.900,-49.480,false,false,false,false,false,-4.745,-2.507,-5.345,-3.057,0.430,-9.670,not_triggered,61.400,Q4,46.400,Q2,61.400,Q4,61.400,Q4,51.400,Q4,61.400,Q4,46.400,Q3
2026-05-11,IRCON,,WAIT FOR CONFIRMATION,WAIT,,56.400,10,10,54.700,-32.450,false,false,false,false,false,-5.507,-4.404,-7.693,-6.413,-0.361,-10.456,not_triggered,56.400,Q3,46.400,Q2,56.400,Q3,56.400,Q3,46.400,Q3,56.400,Q3,46.400,Q3
2026-05-11,JBCHEPHARM,,WAIT FOR PULLBACK,WAIT,,68.600,16,10,75.400,-0.550,true,true,true,false,false,-3.498,-3.385,-3.950,0.710,3.281,-5.975,entry_reached_no_resolution,68.600,Q5,52.600,Q4,46.600,Q2,68.600,Q5,58.600,Q5,53.600,Q2,15.600,Q1
2026-05-11,JINDALSAW,,WAIT FOR CONFIRMATION,WAIT,,51.400,0,10,60.600,-8.030,false,false,false,false,false,-4.121,-2.434,-7.829,-5.662,3.132,-10.643,not_triggered,51.400,Q2,51.400,Q4,51.400,Q2,51.400,Q2,41.400,Q2,51.400,Q2,51.400,Q4
2026-05-11,JMFINANCIL,,AVOID / NO TRADE,AVOID,,67.900,17,10,58.500,-29.330,false,false,false,false,true,-3.881,-2.620,-8.513,-6.268,-0.425,-10.949,not_triggered,67.900,Q5,50.900,Q3,67.900,Q5,67.900,Q5,57.900,Q5,67.900,Q5,50.900,Q4
2026-05-11,JSWENERGY,,WATCHLIST,WATCHLIST,,65.700,14,10,56.700,-4.720,false,false,false,false,false,-7.177,-8.100,-5.188,-0.170,9.122,-9.462,entry_reached_no_resolution,65.700,Q5,51.700,Q4,65.700,Q5,65.700,Q4,55.700,Q4,65.700,Q5,51.700,Q4
